 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16,Area17,Mean17,Area18,Mean18,Area19,Mean19,Area20,Mean20,Area21,Mean21,Area22,Mean22,Area23,Mean23,Area24,Mean24,Area25,Mean25,Area26,Mean26,Area27,Mean27,Area28,Mean28,Area29,Mean29,Area30,Mean30,Area31,Mean31,Area32,Mean32,Area33,Mean33,Area34,Mean34,Area35,Mean35,Area36,Mean36,Area37,Mean37,Area38,Mean38
11,0.216,3162.173,0.058,2899.214,0.957,2924.835,0.075,3158.389,0.037,3025.667,1.053,3133.138,0.062,2905.933,0.037,2883.667,0.254,3150.18,0.137,2896.545,0.233,2578.161,0.258,2660.629,0.154,2084.297,0.57,2288.131,0.125,2415.7,0.262,2234.317,5.933,2473.249,0.582,2449.707,0.241,2168.31,0.354,1893.388,0.037,1682.778,0.845,1626.759,1.136,2545.865,0.233,1877.161,0.603,2104.972,0.391,3121.33,0.229,1892.218,1.385,2143.009,0.062,1694.8,0.037,2235.778,0.37,2050.843,0.137,1738.515,0.47,2009.124,0.337,1929.346,0.037,1901.778,0.312,1908.253,0.358,2079.581,0.05,1977.583
12,0.216,3027.25,0.058,2943.928,0.957,2790.983,0.075,3125.5,0.037,2909.222,1.053,3130.348,0.062,2615.4,0.037,2763.778,0.254,3130.656,0.137,2736.848,0.233,2711.536,0.258,2727.645,0.154,2301.568,0.57,2380.474,0.125,2499.9,0.262,2131.572,5.933,2485.155,0.582,2598.957,0.241,2139.672,0.354,1931.212,0.037,1874.889,0.845,1644.059,1.136,2791.63,0.233,2056.197,0.603,2079.041,0.391,3130.862,0.229,1884.073,1.385,2166.856,0.062,1733.067,0.037,2003.667,0.37,2264.989,0.137,1704.576,0.47,1986.947,0.337,1997.432,0.037,1893,0.312,1904.64,0.358,2164.023,0.05,2236.5
13,0.216,3008.981,0.058,3046.714,0.957,2723.435,0.075,3044.111,0.037,2932.667,1.053,3054.881,0.062,2433.667,0.037,2754,0.254,3032.394,0.137,2737.818,0.233,2536,0.258,2775.403,0.154,2444.351,0.57,2336.664,0.125,2344.3,0.262,2219.635,5.933,2543.965,0.582,2493.9,0.241,2132.741,0.354,1936.753,0.037,1690.556,0.845,1658.394,1.136,2781.868,0.233,2009.357,0.603,2078.317,0.391,3363.436,0.229,1773.545,1.385,2128.462,0.062,1749.867,0.037,2406.333,0.37,2264.921,0.137,1803.121,0.47,2014.557,0.337,1992.716,0.037,1806.667,0.312,1896.987,0.358,2095.279,0.05,2233.75
14,0.216,2992,0.058,3171.5,0.957,2870.178,0.075,3015.889,0.037,2973.778,1.053,3118.32,0.062,2496.4,0.037,2653.556,0.254,2954.197,0.137,2818.273,0.233,2559.375,0.258,2836.839,0.154,2589.649,0.57,2575.679,0.125,2317.833,0.262,2181.81,5.933,2613.342,0.582,2590.243,0.241,2097.534,0.354,1958.918,0.037,1654.222,0.845,1736.192,1.136,2671.245,0.233,2213.232,0.603,2135.51,0.391,3485.511,0.229,1754.727,1.385,2113.321,0.062,1790.2,0.037,1966.222,0.37,2387.966,0.137,1711.727,0.47,2097.035,0.337,2049.296,0.037,1943.222,0.312,1899.547,0.358,2183.628,0.05,2167.333
15,0.216,2944.711,0.058,3232.143,0.957,2879.656,0.075,3051.167,0.037,3084.889,1.053,2997.158,0.062,2651.2,0.037,2683.667,0.254,2986.787,0.137,2870.727,0.233,2474.911,0.258,2850.484,0.154,2556.054,0.57,2534.825,0.125,2341.633,0.262,1971.254,5.933,2605.102,0.582,2589.921,0.241,1969.431,0.354,2072.341,0.037,1744.889,0.845,1746.463,1.136,2714.238,0.233,2147.714,0.603,2268.931,0.391,3581.979,0.229,1832.418,1.385,2024.541,0.062,1764.8,0.037,2025,0.37,2188.022,0.137,1751.182,0.47,2203.973,0.337,2003.506,0.037,1915.444,0.312,1931.253,0.358,2213.477,0.05,2102.75
16,0.216,3090.135,0.058,3250.786,0.957,2728.057,0.075,2979.167,0.037,2954.889,1.053,2982.237,0.062,2591.133,0.037,2706.333,0.254,2893.295,0.137,3034.818,0.233,2543.964,0.258,2759.323,0.154,2629.216,0.57,2446.219,0.125,2088.033,0.262,2117.476,5.933,2642.375,0.582,2553.207,0.241,2038.293,0.354,1987.847,0.037,1669.222,0.845,1765.783,1.136,3023.377,0.233,2294.428,0.603,2265.297,0.391,2969.223,0.229,1788.127,1.385,1988.724,0.062,1853.533,0.037,2123.333,0.37,2142.18,0.137,1837.364,0.47,2149.779,0.337,2085.012,0.037,1845,0.312,1978.493,0.358,2325.721,0.05,1892.333
17,0.216,3044.846,0.058,3058.857,0.957,2802.469,0.075,3358.611,0.037,2785.889,1.053,3029.763,0.062,2564.067,0.037,2667.889,0.254,2832.771,0.137,2953.394,0.233,2600.678,0.258,2695.306,0.154,2750.297,0.57,2356.19,0.125,2249.633,0.262,2134.619,5.933,2567.516,0.582,2485.5,0.241,1961.207,0.354,2058.141,0.037,1652.333,0.845,1774.852,1.136,2966.242,0.233,2137.964,0.603,2299.524,0.391,3073.542,0.229,1735.564,1.385,1931.586,0.062,1943.333,0.037,1961.889,0.37,2085.629,0.137,1698.091,0.47,2149.372,0.337,2005.728,0.037,1811.667,0.312,1907,0.358,2262.802,0.05,1931.417
18,0.216,3065.404,0.058,3133.214,0.957,2941.156,0.075,3139.611,0.037,2757.111,1.053,3094.091,0.062,2661.867,0.037,2980.778,0.254,2829.82,0.137,3007.03,0.233,2692.928,0.258,2794.532,0.154,2690.892,0.57,2599.241,0.125,2170.767,0.262,2199.841,5.933,2635.434,0.582,2630.2,0.241,2117.862,0.354,2208.141,0.037,1772.778,0.845,1851.768,1.136,2600.227,0.233,2301.572,0.603,2238.497,0.391,3689.415,0.229,1810.164,1.385,2019.138,0.062,1981.733,0.037,2101.222,0.37,2129.798,0.137,1760.727,0.47,2314.655,0.337,1984.753,0.037,1880.556,0.312,1862.947,0.358,2237,0.05,2042.25
19,0.216,3074.231,0.058,3056.143,0.957,2929.139,0.075,2730.556,0.037,2784.556,1.053,3175.972,0.062,2952.267,0.037,2854.667,0.254,2712.902,0.137,2942.152,0.233,2618.072,0.258,2881.774,0.154,2813.513,0.57,2758.854,0.125,2353.233,0.262,2191.984,5.933,2555.254,0.582,2617.95,0.241,2103.155,0.354,2165.271,0.037,1695.333,0.845,1839.911,1.136,2797.355,0.233,2012.268,0.603,2201.869,0.391,3356.894,0.229,1695.418,1.385,2029.261,0.062,1943.4,0.037,2039.333,0.37,2051.899,0.137,1764.182,0.47,2460.23,0.337,1953.469,0.037,1857,0.312,1929.627,0.358,2381.233,0.05,2217
20,0.216,3109.115,0.058,3070.286,0.957,2885.757,0.075,2775.111,0.037,2884.778,1.053,3190.261,0.062,2451.467,0.037,2670.778,0.254,2754.147,0.137,2806.727,0.233,2636.982,0.258,2719.436,0.154,2758.811,0.57,2648.394,0.125,2357.733,0.262,1947.365,5.933,2560.609,0.582,2399.514,0.241,2029.328,0.354,2045.506,0.037,1803.889,0.845,1834.783,1.136,2694.194,0.233,2142.732,0.603,2167.552,0.391,3616.84,0.229,1673.782,1.385,2044.58,0.062,1870.267,0.037,2066.889,0.37,2272.528,0.137,1760.667,0.47,2217.204,0.337,1965.506,0.037,1807.889,0.312,1901.187,0.358,2409.791,0.05,2038.5
