 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16,Area17,Mean17,Area18,Mean18,Area19,Mean19,Area20,Mean20,Area21,Mean21,Area22,Mean22,Area23,Mean23,Area24,Mean24,Area25,Mean25,Area26,Mean26,Area27,Mean27,Area28,Mean28,Area29,Mean29,Area30,Mean30,Area31,Mean31,Area32,Mean32,Area33,Mean33,Area34,Mean34,Area35,Mean35,Area36,Mean36,Area37,Mean37,Area38,Mean38
31,0.216,3007.192,0.058,2997.357,0.957,2752.717,0.075,2969,0.037,3218.111,1.053,3361.937,0.062,2269.6,0.037,2772,0.254,2892.164,0.137,2860.273,0.233,2809.178,0.258,2796.29,0.154,3214.676,0.57,2540.737,0.125,2438.2,0.262,2375.428,5.933,2623.469,0.582,2447.407,0.241,1971.328,0.354,1865.306,0.037,1653.889,0.845,2104.847,1.136,3056.678,0.233,1866.536,0.603,2369.145,0.391,2428.202,0.229,1772.927,1.385,2249.583,0.062,2331.333,0.037,1957.778,0.37,1910.494,0.137,1919.212,0.47,2449.513,0.337,2268.568,0.037,1837.667,0.312,2149.08,0.358,2113.802,0.05,2330.917
32,0.216,2931.615,0.058,2881.572,0.957,2883.791,0.075,2913.333,0.037,3142.222,1.053,3321.585,0.062,2480.933,0.037,2940.111,0.254,3081.508,0.137,2906.727,0.233,2702.214,0.258,2774.774,0.154,3164.487,0.57,2524.321,0.125,2343.5,0.262,2065.365,5.933,2546.135,0.582,2457.021,0.241,1980.569,0.354,1925.835,0.037,1585.333,0.845,2076.67,1.136,2970.037,0.233,1763.446,0.603,2199.09,0.391,2524.979,0.229,1792,1.385,2233.901,0.062,2159.533,0.037,1883.111,0.37,1974.663,0.137,1901,0.47,2351.619,0.337,2086.247,0.037,1853,0.312,2093.307,0.358,2096.628,0.05,2259.667
33,0.216,2920.423,0.058,2968,0.957,2894.726,0.075,2942.611,0.037,3278.444,1.053,3309.478,0.062,2454.6,0.037,3055.778,0.254,3183.541,0.137,2899.848,0.233,2984.303,0.258,2978.855,0.154,3004.946,0.57,2466.978,0.125,2261.133,0.262,2071.397,5.933,2522.052,0.582,2578.914,0.241,1909.862,0.354,1889.165,0.037,1623,0.845,2132.823,1.136,2901.557,0.233,1890.75,0.603,2412.635,0.391,2495.298,0.229,1819.182,1.385,2207.177,0.062,2092.867,0.037,1852,0.37,1880.202,0.137,1957.788,0.47,2236.796,0.337,2226.173,0.037,1670.778,0.312,2095.827,0.358,1919.895,0.05,2053
34,0.216,2950.404,0.058,2949.857,0.957,2851.322,0.075,3032.722,0.037,3111.222,1.053,3331.711,0.062,2292.4,0.037,2828,0.254,3132.312,0.137,2742.667,0.233,2903.982,0.258,2892.613,0.154,3129.162,0.57,2574,0.125,2609.267,0.262,2219.778,5.933,2583.949,0.582,2784.264,0.241,2010.948,0.354,1835.435,0.037,1524.667,0.845,2160.148,1.136,2796.96,0.233,2015.714,0.603,2373,0.391,2746.596,0.229,1929.309,1.385,2287.039,0.062,2182.6,0.037,2033.111,0.37,1912.921,0.137,2140.303,0.47,2353.159,0.337,2151.593,0.037,1701.889,0.312,2096.813,0.358,2055.977,0.05,2088.167
35,0.216,3029.269,0.058,2786,0.957,2595.778,0.075,2829.556,0.037,2506.222,1.053,3327.818,0.062,2562.733,0.037,2541.222,0.254,3179.082,0.137,2714.394,0.233,3017.518,0.258,2922.597,0.154,3170.378,0.57,2616.46,0.125,2488.933,0.262,2141.714,5.933,2555.715,0.582,2734.864,0.241,2046.948,0.354,1943.071,0.037,1595.222,0.845,2047.005,1.136,2806.535,0.233,1953.393,0.603,2194.904,0.391,2684.309,0.229,1820.745,1.385,2293.517,0.062,2154.333,0.037,2311.222,0.37,1881.966,0.137,1841.303,0.47,2592.894,0.337,2197.358,0.037,1664.222,0.312,2095.88,0.358,1949.407,0.05,2060.417
36,0.216,3067.135,0.058,2904,0.957,2756.239,0.075,3289.389,0.037,2772.556,1.053,3284.067,0.062,2582.6,0.037,2753.889,0.254,3312.82,0.137,2559.545,0.233,2791.107,0.258,2723.306,0.154,3227.135,0.57,2510.752,0.125,2129,0.262,2223.968,5.933,2542.999,0.582,2676.714,0.241,1884.776,0.354,1936.306,0.037,1539.111,0.845,2116.025,1.136,2744.868,0.233,2004.071,0.603,2113.828,0.391,2862,0.229,1749.146,1.385,2219.934,0.062,2035.933,0.037,1950,0.37,1861.652,0.137,1955.455,0.47,2612.372,0.337,2140.259,0.037,1645.111,0.312,2148.747,0.358,1938.837,0.05,1893
37,0.216,2882.327,0.058,2844.786,0.957,2725.417,0.075,2857.111,0.037,2712.667,1.053,3135.791,0.062,2688.667,0.037,2607.556,0.254,3186.902,0.137,2761.091,0.233,2637.75,0.258,2684.613,0.154,3375,0.57,2475.489,0.125,2333.267,0.262,2324.556,5.933,2507.181,0.582,2473.428,0.241,1858.897,0.354,1736.812,0.037,1576.111,0.845,2093.31,1.136,2677.572,0.233,1983.446,0.603,2095.924,0.391,2924.223,0.229,1684.127,1.385,2230.177,0.062,1911.267,0.037,1937.667,0.37,1921.786,0.137,1785.394,0.47,2568.956,0.337,2142.58,0.037,1593.556,0.312,2125.4,0.358,1837.547,0.05,1982.75
38,0.216,2862.865,0.058,3024.214,0.957,2831.922,0.075,2712.278,0.037,2805.556,1.053,3150.296,0.062,2704.2,0.037,2487.222,0.254,3051.328,0.137,2710.182,0.233,2629.857,0.258,2887.694,0.154,3237.594,0.57,2502.832,0.125,2473.9,0.262,2440.889,5.933,2466.746,0.582,2586.521,0.241,1855.966,0.354,1695.529,0.037,1693.889,0.845,2042.67,1.136,2833.319,0.233,1930.5,0.603,2152.538,0.391,2726.074,0.229,1710.527,1.385,2173.321,0.062,1902.533,0.037,1852.333,0.37,2167.854,0.137,1872.879,0.47,2573.699,0.337,2222.407,0.037,1683.667,0.312,2126.813,0.358,2006.651,0.05,1902.833
39,0.216,2979.846,0.058,3046.928,0.957,2818.835,0.075,2684.556,0.037,3116.778,1.053,3225.51,0.062,2495.467,0.037,2473.556,0.254,3108.147,0.137,2718.515,0.233,2748.482,0.258,2649.742,0.154,3183.406,0.57,2466.796,0.125,2587.567,0.262,2358.286,5.933,2538.017,0.582,2611.536,0.241,1929.431,0.354,1741.518,0.037,1646.667,0.845,2029.99,1.136,2648.476,0.233,1741.393,0.603,2173.669,0.391,2981.447,0.229,1668.782,1.385,2106.216,0.062,2006.6,0.037,2113.444,0.37,2171.191,0.137,2125.333,0.47,2313.867,0.337,2129.296,0.037,1775.111,0.312,2127.293,0.358,2055.895,0.05,1873.833
40,0.216,2866.827,0.058,2938.786,0.957,2744.4,0.075,2772.778,0.037,2970.667,1.053,3085.984,0.062,2315.867,0.037,2450.444,0.254,3509.639,0.137,2751.273,0.233,2713.803,0.258,2621.436,0.154,3181.594,0.57,2421.686,0.125,2464.167,0.262,2438.175,5.933,2544.837,0.582,2755.436,0.241,1896.138,0.354,1732.153,0.037,1643,0.845,2032.97,1.136,2611.572,0.233,1660.821,0.603,2206.972,0.391,3068.67,0.229,1576.745,1.385,2093.748,0.062,1856.667,0.037,1992.667,0.37,1909.944,0.137,1785.424,0.47,2273.646,0.337,2142.938,0.037,1702.556,0.312,2031.08,0.358,1829.151,0.05,1869.083
41,0.216,2995.173,0.058,3589.214,0.957,2707.004,0.075,2780.556,0.037,2993.444,1.053,3096.099,0.062,2478.4,0.037,2354.111,0.254,3095.508,0.137,2688.455,0.233,2430.875,0.258,2692.532,0.154,2862.541,0.57,2461.036,0.125,2401.1,0.262,2534.381,5.933,2517.187,0.582,2771.322,0.241,2001.69,0.354,1773.494,0.037,1862.333,0.845,2052.463,1.136,2701.637,0.233,1647.839,0.603,2209.745,0.391,2867.5,0.229,1530.745,1.385,2180.48,0.062,1780.133,0.037,1867.667,0.37,2066.045,0.137,1597.606,0.47,2199.018,0.337,2096.395,0.037,1762,0.312,2133.573,0.358,2172.547,0.05,1844.833
