 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16,Area17,Mean17,Area18,Mean18
19,13.205,2587.094,2.105,3019.421,0.087,2090.381,0.915,2372.041,0.387,2686.226,0.037,3222.556,1.19,2219.776,0.395,2012.905,0.166,2114.275,0.037,2118.111,0.815,2456.373,1.622,2133.333,0.096,2158.174,0.116,2322.536,5.279,2177.034,0.345,1913.675,4.106,1835.673,1.381,2064.271
20,13.205,2585.865,2.105,3090.743,0.087,2064.667,0.915,2387.273,0.387,2690.097,0.037,2995.667,1.19,2196.58,0.395,2137.8,0.166,2065.45,0.037,1808,0.815,2467.857,1.622,2188.187,0.096,2167.913,0.116,2207.357,5.279,2232.639,0.345,1958.398,4.106,1780.357,1.381,2058.846
21,13.205,2610.025,2.105,3025.725,0.087,2115.048,0.915,2339.623,0.387,2668.333,0.037,2778.333,1.19,2233.909,0.395,2222.253,0.166,2176.45,0.037,2224.889,0.815,2496.485,1.622,2181.097,0.096,2048.261,0.116,2277.928,5.279,2208.912,0.345,1923.265,4.106,1865.018,1.381,2119.126
22,13.205,2585.202,2.105,2833.48,0.087,2275.857,0.915,2453.032,0.387,2867.032,0.037,3305.556,1.19,2129.608,0.395,2205.126,0.166,2107.4,0.037,2076.222,0.815,2335.521,1.622,2219.198,0.096,1965.217,0.116,2603.107,5.279,2186.223,0.345,1942.699,4.106,1851.774,1.381,2150.81
23,13.205,2636.694,2.105,3165.516,0.087,2277.524,0.915,2670.005,0.387,3070.581,0.037,2791.222,1.19,2160.906,0.395,2072.684,0.166,2192.5,0.037,2237.556,0.815,2366.674,1.622,2199.318,0.096,1966.783,0.116,2363.536,5.279,2182.389,0.345,1909.506,4.106,1841.953,1.381,1905.244
24,13.205,2671.979,2.105,3605.646,0.087,2039.429,0.915,2404.136,0.387,3015.495,0.037,2939.222,1.19,2141.72,0.395,2187.537,0.166,2264.025,0.037,2640.556,0.815,2528.745,1.622,2265.09,0.096,2151.783,0.116,2349.536,5.279,2140.039,0.345,1937.976,4.106,1903.986,1.381,1898.199
25,13.205,2694.829,2.105,3507.182,0.087,2317.381,0.915,2626.214,0.387,2969.14,0.037,3384.556,1.19,2190.664,0.395,2279.895,0.166,2101.05,0.037,2413.444,0.815,2465.434,1.622,2210.567,0.096,2019.826,0.116,2295.036,5.279,2194.469,0.345,1971.964,4.106,1845.419,1.381,1884.557
26,13.205,2718.975,2.105,3547.528,0.087,2544.857,0.915,2744.664,0.387,3047.495,0.037,2896.667,1.19,2251.182,0.395,2109.053,0.166,2332.975,0.037,2398,0.815,2370.857,1.622,2094.131,0.096,2234.217,0.116,2324.607,5.279,2113.909,0.345,2044.217,4.106,1898.184,1.381,1777.078
27,13.205,2726.333,2.105,3414.445,0.087,2509.857,0.915,2580.341,0.387,2942.602,0.037,2859.222,1.19,2196.143,0.395,2050.979,0.166,2395.75,0.037,2515.222,0.815,2380.796,1.622,2131.479,0.096,2233.087,0.116,2446.714,5.279,2085.089,0.345,2023.096,4.106,1980.555,1.381,1829.907
28,13.205,2711.792,2.105,3424.134,0.087,2188.095,0.915,2562.646,0.387,2904.086,0.037,2339.111,1.19,2217.615,0.395,2097.284,0.166,2118.475,0.037,2410.444,0.815,2414.877,1.622,2101.069,0.096,2225.913,0.116,2399.822,5.279,2039.347,0.345,2055.349,4.106,2014.629,1.381,1944.385
