 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16
16,0.212,2139.726,0.125,2235.367,0.499,1926.825,0.108,1671.154,0.503,1922.504,0.308,1721.824,0.037,1523.444,0.416,1810.87,0.354,1456.365,0.229,1655.073,1.023,1472.976,0.108,1501.731,0.121,1349.966,0.037,1269.778,0.245,1145.932,0.037,1231.444
17,0.212,2080.608,0.125,2155.1,0.499,1967.742,0.108,1606.462,0.503,1869.545,0.308,1743.77,0.037,1637.444,0.416,1835.38,0.354,1407.047,0.229,1721.964,1.023,1404.451,0.108,1591,0.121,1446.724,0.037,1281,0.245,1138.949,0.037,1143.444
18,0.212,2069.941,0.125,2294.867,0.499,1945.225,0.108,1639.154,0.503,1965.876,0.308,1687.811,0.037,1647.667,0.416,1900.92,0.354,1493.012,0.229,1746.582,1.023,1420.02,0.108,1528.346,0.121,1274.621,0.037,1362.889,0.245,1200.169,0.037,1172.111
19,0.212,2102.843,0.125,2326.9,0.499,1914.625,0.108,1583.154,0.503,1989.438,0.308,1762.892,0.037,1587.111,0.416,1952.63,0.354,1492.8,0.229,1682.745,1.023,1389.435,0.108,1531.038,0.121,1248.862,0.037,1483.667,0.245,1178.831,0.037,1122.667
20,0.212,2071.294,0.125,2209.333,0.499,1972.983,0.108,1668.038,0.503,1949.355,0.308,1826.324,0.037,1502.222,0.416,1920.62,0.354,1599.129,0.229,1834.364,1.023,1371.724,0.108,1566.115,0.121,1245.931,0.037,1428.333,0.245,1245.034,0.037,1204.222
21,0.212,2082.882,0.125,2196.867,0.499,1943.025,0.108,1638.346,0.503,2088.835,0.308,1858.486,0.037,1518.889,0.416,1906.12,0.354,1602.294,0.229,1832.655,1.023,1442.313,0.108,1842.385,0.121,1305.966,0.037,1425.333,0.245,1225.051,0.037,1374.778
22,0.212,2097.216,0.125,2202,0.499,1965.575,0.108,1767.192,0.503,1982.975,0.308,1910.892,0.037,1809.889,0.416,1941.26,0.354,1575.259,0.229,1712.146,1.023,1518.272,0.108,2016.308,0.121,1363.138,0.037,1306.667,0.245,1256.881,0.037,1203.444
23,0.212,2075.451,0.125,2419.667,0.499,1930.667,0.108,1750.808,0.503,1921.975,0.308,1923.554,0.037,1526.444,0.416,1887.02,0.354,1574.471,0.229,1821.418,1.023,1519.687,0.108,2091.769,0.121,1356.103,0.037,1407.333,0.245,1270,0.037,1415.556
24,0.212,2080.118,0.125,2301.1,0.499,1929.708,0.108,1744.769,0.503,2177.223,0.308,1859.541,0.037,1658.222,0.416,1934.86,0.354,1544.506,0.229,1868.291,1.023,1570.122,0.108,2172.192,0.121,1392,0.037,1329.111,0.245,1239.864,0.037,1289.556
25,0.212,2082.686,0.125,2314.1,0.499,1991.225,0.108,1725.346,0.503,2093.926,0.308,1913.676,0.037,1662.111,0.416,1973.87,0.354,1526.059,0.229,1947.291,1.023,1555.915,0.108,2004.654,0.121,1364.931,0.037,1345.778,0.245,1230.034,0.037,1287.111
26,0.212,1925.549,0.125,2191.367,0.499,1980.067,0.108,1752.346,0.503,2174.785,0.308,1896.811,0.037,1584.889,0.416,1944.8,0.354,1484.2,0.229,1878,1.023,1545.459,0.108,2152.346,0.121,1316.034,0.037,1441,0.245,1231.559,0.037,1115.556
27,0.212,1921.863,0.125,2212.3,0.499,1941.658,0.108,1700.846,0.503,2213.132,0.308,1848.459,0.037,1713.444,0.416,1989.79,0.354,1439.435,0.229,1822.473,1.023,1589.374,0.108,2023.615,0.121,1477.724,0.037,1416.111,0.245,1214.407,0.037,1199.333
28,0.212,2045.471,0.125,2255.733,0.499,2147.317,0.108,1781.654,0.503,2173.661,0.308,1630.568,0.037,1672.778,0.416,1864.5,0.354,1511.047,0.229,1962.527,1.023,1573.232,0.108,2002.538,0.121,1487.552,0.037,1515,0.245,1190.729,0.037,1190.333
29,0.212,2003.647,0.125,2133.6,0.499,2108.392,0.108,1782.654,0.503,2182.314,0.308,1623.459,0.037,1878.556,0.416,1673.78,0.354,1667.141,0.229,2067.436,1.023,1576.943,0.108,2038.769,0.121,1327.276,0.037,1500.556,0.245,1132.831,0.037,1221.667
